BBA,Dempster,Murphy,Deng,BJS Pure (Xiao),BJS Origin (Xiao),RB (Xiao),Proposed
m1,—,0.0833,0.0927,0.1056,0.0807,0.0456,0.1154
m2,—,0.0833,0.0895,0.0933,0.1071,0.0783,0.1124
m3,—,0.0833,0.0895,0.0933,0.1071,0.0783,0.1124
m4,—,0.0833,0.0887,0.0947,0.0963,0.0913,0.0562
m5,—,0.0833,0.0927,0.1056,0.0807,0.0456,0.1154
m6,—,0.0833,0.0822,0.0737,0.0845,0.0588,0.1060
m7,—,0.0833,0.0822,0.0737,0.0845,0.0588,0.1060
m8,—,0.0833,0.0825,0.0758,0.0770,0.0574,0.0533
m9,—,0.0833,0.0839,0.0939,0.0718,0.0384,0.0570
m10,—,0.0833,0.0728,0.0636,0.0729,0.1396,0.0554
m11,—,0.0833,0.0728,0.0636,0.0729,0.1396,0.0554
m12,—,0.0833,0.0705,0.0633,0.0643,0.1683,0.0551
